ID	age	gender	date	block	trial	stim_type	stim_step	intensity	resp1	resp1_t	resp1_btn	resp2	resp2_t	resp2_btn	stim_delay	mri_trigger	t_mri_stim_onset	onset_fix	onset_cue	onset_stim_p	onset_resp1	onset_resp1_p	onset_resp2	onset_ITI
01	27	w	2016/07/07	1	26	0	0.00	0.000000	0	566.5759	7	4	455.7624	8	0.8850	68959.289311	2003.027787	68959.373136	68960.359428	68961.345720	68970.339360	68970.924447	68971.827155	68972.311942
01	27	w	2016/07/07	1	27	1	1.00	1.630000	0	939.1136	7	4	429.8049	8	0.8850	68980.289898	2003.128369	68980.386157	68981.372448	68982.358739	68991.352379	68992.321954	68992.840173	68993.291533
01	27	w	2016/07/07	1	28	1	1.00	1.630000	0	497.5776	7	3	326.3663	7	0.8850	69001.290469	2003.279244	69001.382460	69002.368750	69003.355042	69012.348681	69012.866902	69013.836476	69014.187529
01	27	w	2016/07/07	1	29	1	1.00	1.630000	0	319.3743	7	4	389.9860	8	0.8850	69022.291070	2003.440176	69022.378762	69023.365053	69024.351344	69033.344984	69033.679318	69034.832779	69035.250702
01	27	w	2016/07/07	1	30	1	1.00	1.630000	1	813.4753	6	1	417.6729	5	0.8850	69043.291634	2003.591051	69043.391782	69044.378072	69045.364363	69054.358003	69055.193843	69055.845798	69056.280433
01	27	w	2016/07/07	1	31	1	1.00	1.630000	0	493.7296	7	3	384.3024	7	0.8850	69064.292252	2003.751983	69064.388084	69065.374375	69066.360665	69075.354306	69075.872527	69076.842100	69077.243304
01	27	w	2016/07/07	1	32	1	1.00	1.630000	1	520.4803	6	3	449.4252	7	0.8850	69085.292853	2003.912916	69085.384387	69086.370678	69087.356969	69096.350608	69096.902265	69097.838403	69098.306474
01	27	w	2016/07/07	1	33	1	1.00	1.630000	0	1008.9877	7	2	353.0939	6	0.8850	69106.293418	2004.063790	69106.380689	69107.366980	69108.353271	69117.346911	69118.383352	69118.834706	69119.202474
01	27	w	2016/07/07	1	34	1	1.00	1.630000	0	610.9363	7	3	427.5677	7	0.8850	69127.293996	2003.057961	69127.394305	69128.380586	69129.366883	69138.360521	69138.995763	69139.847725	69140.299079
01	27	w	2016/07/07	1	35	1	1.00	1.630000	0	494.1254	7	4	567.1901	8	0.8850	69148.294607	2002.866854	69148.390011	69149.376302	69150.362592	69159.356233	69159.874453	69160.844027	69161.429116
01	27	w	2016/07/07	1	36	2	1.00	1.790000	0	376.7880	7	4	328.1937	8	0.8850	69169.295188	2002.675747	69169.386313	69170.372605	69171.358916	69180.352535	69180.753738	69181.840331	69182.191384
01	27	w	2016/07/07	1	37	0	0.00	0.000000	0	437.9474	7	4	391.8754	8	0.8850	69190.295747	2002.736096	69190.382616	69191.368905	69192.355198	69201.348837	69201.816913	69202.836633	69203.254553
01	27	w	2016/07/07	1	38	0	0.00	0.000000	0	1483.6499	7	1	1073.9134	5	0.8850	69211.296337	2002.897029	69211.395636	69212.381926	69213.368217	69222.361857		69223.883086	69224.986395
01	27	w	2016/07/07	1	39	1	1.00	1.630000	0	494.0139	7	3	263.4764	7	0.8850	69232.296931	2002.997612	69232.391939	69233.378229	69234.364519	69243.358161	69243.876381	69244.845955	69245.130141
01	27	w	2016/07/07	1	40	0	0.00	0.000000	0	1500.0000	0	0	1500.0000	0	0.8850	69253.297543	2003.138428	69253.388240	69254.374531	69255.360824	69264.354462		69265.892408	69267.413637
01	27	w	2016/07/07	2	1	1	1.00	1.640000	0	429.8822	7	0	1500.0000	0	0.8850	69436.796950	1997.636546	69436.889158	69437.875450	69438.861741	69447.855384	69448.306146	69449.342586	69450.863815
01	27	w	2016/07/07	2	2	1	1.00	1.640000	1	399.2218	6	4	331.9409	8	0.8850	69457.797543	1997.717013	69457.884872	69458.871164	69459.857454	69468.851093	69469.269013	69470.338890	69470.689942
01	27	w	2016/07/07	2	3	0	0.00	0.000000	0	489.7571	7	3	380.3319	7	0.8850	69478.798103	1996.841942	69478.897892	69479.884184	69480.870472	69489.864113	69490.382334	69491.351909	69491.753112
01	27	w	2016/07/07	2	4	1	1.00	1.640000	0	433.2137	7	3	445.4475	7	0.8850	69499.798706	1996.982758	69499.894199	69500.880483	69501.866776	69510.860423	69511.311769	69512.348211	69512.816283
01	27	w	2016/07/07	2	5	1	1.00	1.640000	1	438.2885	6	2	362.0383	6	0.8850	69520.799270	1997.113516	69520.890847	69521.876788	69522.863079	69531.857305	69532.325384	69533.345108	69533.729603
01	27	w	2016/07/07	2	6	1	1.00	1.640000	0	429.8287	7	2	303.1863	6	0.8850	69541.799894	1997.224157	69541.887388	69542.873090	69543.859383	69552.853021	69553.304374	69554.340816	69554.675154
01	27	w	2016/07/07	2	7	1	1.00	1.640000	0	611.8504	7	3	305.0638	7	0.8850	69562.800461	1997.344856	69562.899842	69563.886110	69564.872401	69573.866040	69574.501281	69575.353835	69575.688174
01	27	w	2016/07/07	2	8	2	1.00	1.800000	1	365.7055	6	4	445.8723	8	0.8850	69583.801038	1997.475614	69583.896122	69584.882412	69585.868703	69594.862342	69595.246829	69596.350138	69596.818211
01	27	w	2016/07/07	2	9	1	1.00	1.640000	1	536.8467	6	1	345.9152	5	0.8850	69604.801631	1997.515847	69604.892425	69605.878714	69606.865006	69615.858645	69616.427016	69617.346440	69617.714211
01	27	w	2016/07/07	2	10	1	1.00	1.640000	0	442.2262	7	4	393.6041	8	0.8850	69625.802242	1997.646605	69625.888726	69626.875016	69627.861307	69636.854947	69637.323018	69638.342743	69638.760665
01	27	w	2016/07/07	2	11	1	1.00	1.640000	0	308.1239	7	2	311.4190	6	0.8850	69646.802798	1997.787421	69646.901745	69647.888037	69648.874328	69657.867968	69658.202303	69659.355762	69659.690100
01	27	w	2016/07/07	2	12	0	0.00	0.000000	0	494.9038	7	4	446.3024	8	0.8850	69667.803410	1996.912350	69667.898048	69668.884339	69669.870630	69678.864270	69679.382490	69680.352065	69680.820136
01	27	w	2016/07/07	2	13	2	1.00	1.800000	1	819.4443	6	1	389.8309	5	0.8850	69688.803979	1997.043108	69688.894352	69689.880641	69690.866931	69699.860572	69700.696410	69701.348371	69701.766288
01	27	w	2016/07/07	2	14	1	1.00	1.640000	0	320.9957	7	3	394.0725	7	0.8850	69709.804566	1997.224157	69709.890653	69710.876942	69711.863235	69720.856875	69721.207928	69722.344670	69722.762596
01	27	w	2016/07/07	2	15	0	0.00	0.000000	0	491.0642	7	3	381.6424	7	0.8850	69730.805155	1997.354915	69730.903672	69731.889964	69732.876255	69741.869894	69742.388117	69743.357689	69743.758893
01	27	w	2016/07/07	2	16	1	1.00	1.640000	0	434.4818	7	4	562.9639	8	0.8850	69751.805767	1997.525905	69751.899975	69752.886267	69753.872562	69762.866198	69763.317550	69764.353994	69764.939080
01	27	w	2016/07/07	2	17	1	1.00	1.640000	0	621.2797	7	3	755.1903	7	0.8850	69772.806319	1997.616430	69772.896277	69773.882568	69774.868858	69783.862499	69784.514455	69785.350296	69786.135992
01	27	w	2016/07/07	2	18	1	1.00	1.640000	1	758.1006	6	1	428.7871	5	0.8850	69793.806907	1997.717013	69793.892580	69794.878870	69795.865162	69804.858802	69805.644492	69806.346597	69806.797952
01	27	w	2016/07/07	2	19	0	0.00	0.000000	0	491.4753	7	4	563.9529	8	0.8850	69814.807525	1997.837712	69814.905599	69815.891890	69816.878182	69825.871821	69826.390044	69827.360204	69827.945332
01	27	w	2016/07/07	2	20	0	0.00	0.000000	0	479.4743	7	4	812.1570	8	0.8850	69835.808089	1996.972700	69835.902495	69836.888781	69837.875071	69846.868125	69847.369628	69848.355920	69849.191759
01	27	w	2016/07/07	2	21	0	0.00	0.000000	0	500.0350	7	0	1500.0000	0	0.8850	69856.808686	1997.103457	69856.898205	69857.884495	69858.870787	69867.864426	69868.382645	69869.352222	69870.873453
01	27	w	2016/07/07	2	22	2	1.00	1.800000	0	321.8232	7	3	334.0587	7	0.8850	69877.809259	1997.254332	69877.894506	69878.880798	69879.867089	69888.860729	69889.211781	69890.348524	69890.699576
01	27	w	2016/07/07	2	23	1	1.00	1.640000	1	552.0246	6	1	380.4837	5	0.8850	69898.809829	1997.435381	69898.907527	69899.893818	69900.880109	69909.873748	69910.442117	69911.361543	69911.762746
01	27	w	2016/07/07	2	24	2	1.00	1.800000	1	468.2441	6	4	386.7290	8	0.8850	69919.810428	1997.546022	69919.903833	69920.890120	69921.876410	69930.870050	69931.354838	69932.357849	69932.775767
01	27	w	2016/07/07	2	25	1	1.00	1.640000	0	439.6219	7	1	371.8289	5	0.8850	69940.811023	1997.636546	69940.900131	69941.886422	69942.872714	69951.866353	69952.334423	69953.354148	69953.755352
01	27	w	2016/07/07	2	26	1	1.00	1.640000	0	1133.0975	7	4	456.1488	8	0.8850	69961.811599	1997.777362	69961.896432	69962.882725	69963.869016	69972.862657	69974.016115	69974.350451	69974.835238
01	27	w	2016/07/07	2	27	0	0.00	0.000000	0	553.1503	7	4	950.4081	8	0.8850	69982.812196	1997.928237	69982.909454	69983.895766	69984.882036	69993.875676	69994.444044	69995.363470	69996.333045
01	27	w	2016/07/07	2	28	1	1.00	1.640000	0	374.9252	7	4	371.1764	8	0.8850	70003.812768	1998.079111	70003.905757	70004.892047	70005.878338	70014.871977	70015.273181	70016.359772	70016.760976
01	27	w	2016/07/07	2	29	2	1.00	1.800000	1	635.2013	6	2	703.5203	6	0.8850	70024.813385	1997.224157	70024.902058	70025.888349	70026.874641	70035.868280	70036.520235	70037.356075	70038.074896
01	27	w	2016/07/07	2	30	1	1.00	1.640000	0	383.4925	7	4	390.0660	8	0.8850	70045.813964	1997.354915	70045.898359	70046.884652	70047.870943	70056.864584	70057.265786	70058.352378	70058.770298
01	27	w	2016/07/07	2	31	1	1.00	1.640000	0	909.1243	7	4	1011.6686	8	0.8850	70066.814575	1997.576197	70066.911380	70067.897671	70068.883963	70077.877603	70078.813750	70079.365397	70080.401840
01	27	w	2016/07/07	2	32	1	1.00	1.640000	0	375.3735	7	4	497.0870	8	0.8850	70087.815161	1997.626488	70087.907685	70088.893975	70089.880265	70098.873904	70099.275108	70100.361701	70100.879921
01	27	w	2016/07/07	2	33	1	1.00	1.640000	1	402.3098	6	3	331.0646	7	0.8850	70108.815710	1997.777362	70108.903985	70109.890276	70110.876568	70119.870208	70120.288126	70121.358002	70121.709063
01	27	w	2016/07/07	2	34	0	0.00	0.000000	0	950.8564	7	3	518.0160	7	0.8850	70129.816325	1997.888004	70129.901298	70130.887167	70131.873460	70140.867101	70141.836675	70142.354305	70142.889242
01	27	w	2016/07/07	2	35	0	0.00	0.000000	0	483.7577	7	4	931.4141	8	0.8850	70150.816918	1998.018761	70150.913308	70151.899599	70152.885890	70161.879530	70162.381033	70163.367324	70164.320182
01	27	w	2016/07/07	2	36	1	1.00	1.640000	0	943.3104	7	4	570.5086	8	0.8850	70171.817487	1998.159577	70171.909609	70172.895902	70173.882192	70182.875832	70183.845407	70184.363628	70184.965432
01	27	w	2016/07/07	2	37	1	1.00	1.640000	0	386.8794	7	4	757.3448	8	0.8850	70192.818096	1998.310452	70192.905912	70193.892203	70194.878495	70203.872134	70204.290058	70205.359929	70206.145620
01	27	w	2016/07/07	2	38	1	1.00	1.640000	0	798.4851	7	3	768.4736	7	0.8850	70213.818669	1997.485672	70213.902344	70214.888506	70215.874797	70224.868437	70225.687560	70226.356232	70227.141922
01	27	w	2016/07/07	2	39	0	0.00	0.000000	0	577.8388	7	4	608.2411	8	0.8850	70234.819234	1997.616430	70234.915236	70235.901524	70236.887815	70245.881456	70246.483261	70247.369251	70248.004490
01	27	w	2016/07/07	2	40	1	1.00	1.640000	0	581.9708	7	0	1500.0000	0	0.8850	70255.819850	1997.686838	70255.911536	70256.897828	70257.884121	70266.877758	70267.479564	70268.365554	70269.886784
01	27	w	2016/07/07	3	1	0	0.00	0.000000	0	436.6529	7	4	435.0013	8	0.8850	71552.653952	2000.593682	71552.751424	71553.737715	71554.724017	71563.717649	71564.185132	71565.204855	71565.656208
01	27	w	2016/07/07	3	2	1	1.00	1.690000	1	426.9966	6	3	411.5052	7	0.8850	71573.654502	1999.738728	71573.747144	71574.733432	71575.719723	71584.713364	71585.164718	71586.201158	71586.635796
01	27	w	2016/07/07	3	3	1	1.00	1.690000	0	549.8007	7	1	1323.8082	5	0.8850	71594.655098	1999.929835	71594.743444	71595.729735	71596.716026	71605.709665	71606.278039	71607.197461	71608.551524
01	27	w	2016/07/07	3	4	1	1.00	1.690000	0	423.3134	7	2	348.2353	6	0.8850	71615.655698	2000.402575	71615.739745	71616.726037	71617.712328	71626.705968	71627.157327	71628.193763	71628.561533
01	27	w	2016/07/07	3	5	1	1.00	1.690000	1	461.4079	6	2	331.5156	6	0.8850	71636.656281	2000.905489	71636.752772	71637.739057	71638.725348	71647.719579	71648.204379	71649.207370	71649.558424
01	27	w	2016/07/07	3	6	0	0.00	0.000000	0	473.4852	7	4	438.4870	8	0.8850	71657.656852	2001.297762	71657.749658	71658.735359	71659.721649	71668.715291	71669.216796	71670.203085	71670.671155
01	27	w	2016/07/07	3	7	0	0.00	0.000000	0	626.4380	7	4	755.9817	8	0.8850	71678.657417	2001.428519	71678.745372	71679.731660	71680.717953	71689.711592	71690.363548	71691.199389	71691.985079
01	27	w	2016/07/07	3	8	1	1.00	1.690000	1	405.3307	6	1	363.4588	5	0.8850	71699.658038	2001.569335	71699.741704	71700.727964	71701.714256	71710.707895	71711.142532	71712.195690	71712.580179
01	27	w	2016/07/07	3	9	1	1.00	1.690000	0	466.2489	7	2	489.9925	6	0.8850	71720.658627	2001.720210	71720.754693	71721.740984	71722.727275	71731.720914	71732.205702	71733.208709	71733.726931
01	27	w	2016/07/07	3	10	1	1.00	1.690000	1	356.1971	6	4	388.3924	8	0.8850	71741.659208	2000.855197	71741.750996	71742.737288	71743.723579	71752.717218	71753.101703	71754.205015	71754.622985
01	27	w	2016/07/07	3	11	1	1.00	1.690000	0	425.9420	7	2	334.8048	6	0.8850	71762.659766	2001.006072	71762.747297	71763.733589	71764.719880	71773.713521	71774.164874	71775.201350	71775.552366
01	27	w	2016/07/07	3	12	0	0.00	0.000000	0	565.8463	7	3	380.6402	7	0.8850	71783.660373	2001.146888	71783.760317	71784.746609	71785.732898	71794.726539	71795.311627	71796.214336	71796.615537
01	27	w	2016/07/07	3	13	2	1.00	1.980000	1	466.7233	6	4	384.4999	8	0.8850	71804.660976	2001.277645	71804.756620	71805.742911	71806.729202	71815.722841	71816.207629	71817.210637	71817.611841
01	27	w	2016/07/07	3	14	2	1.00	1.980000	1	700.9102	6	4	327.9614	8	0.8850	71825.661711	2001.428519	71825.752922	71826.739213	71827.725503	71836.719144	71837.437967	71838.206940	71838.557992
01	27	w	2016/07/07	3	15	2	1.00	1.980000	1	466.6878	6	4	947.1240	8	0.8850	71846.662129	2001.569335	71846.749225	71847.735515	71848.721809	71857.715446	71858.200234	71859.203242	71860.172816
01	27	w	2016/07/07	3	16	1	1.00	1.690000	1	415.6538	6	4	323.8136	8	0.8850	71867.662717	2001.710151	71867.762244	71868.748535	71869.734828	71878.728466	71879.163102	71880.216261	71880.567314
01	27	w	2016/07/07	3	17	1	1.00	1.690000	1	593.1787	6	4	445.7815	8	0.8850	71888.663292	2001.881142	71888.758548	71889.744838	71890.731129	71899.724768	71900.343291	71901.212564	71901.680636
01	27	w	2016/07/07	3	18	1	1.00	1.690000	1	496.3526	6	4	353.6560	8	0.8850	71909.663907	2002.042075	71909.754851	71910.741142	71911.727430	71920.721071	71921.239293	71922.208869	71922.593354
01	27	w	2016/07/07	3	19	2	1.00	1.980000	1	491.2628	6	4	338.0318	8	0.8850	71930.664459	2001.136829	71930.751151	71931.737441	71932.723734	71941.717376	71942.235596	71943.205758	71943.573534
01	27	w	2016/07/07	3	20	1	1.00	1.690000	1	663.2136	6	3	358.7378	7	0.8850	71951.665061	2001.287704	71951.764759	71952.751055	71953.737343	71962.730394	71963.415782	71964.218189	71964.602675
01	27	w	2016/07/07	3	21	1	1.00	1.690000	1	459.2897	6	2	350.1272	6	0.8850	71972.665675	2001.428519	71972.760474	71973.746765	71974.733056	71983.726699	71984.211484	71985.214490	71985.582260
01	27	w	2016/07/07	3	22	1	1.00	1.690000	1	524.2308	6	3	644.9894	7	0.8850	71993.666237	2001.569335	71993.756779	71994.743067	71995.729358	72004.722998	72005.274654	72006.210793	72006.879466
01	27	w	2016/07/07	3	23	0	0.00	0.000000	0	458.9271	7	1	390.2613	5	0.8850	72014.666832	2001.619627	72014.753078	72015.739368	72016.725661	72025.719300	72026.204088	72027.207096	72027.625016
01	27	w	2016/07/07	3	24	1	1.00	1.690000	1	501.3404	6	4	370.0970	8	0.8850	72035.667394	2001.177062	72035.766098	72036.752389	72037.738680	72046.732320	72047.250540	72048.220115	72048.621319
01	27	w	2016/07/07	3	25	0	0.00	0.000000	0	709.0625	7	3	582.3945	7	0.8850	72056.667988	2000.724440	72056.762401	72057.748692	72058.734983	72067.728624	72068.464164	72069.216417	72069.818223
01	27	w	2016/07/07	3	26	1	1.00	1.690000	1	648.5400	6	0	1500.0000	0	0.8850	72077.668572	2000.483041	72077.758703	72078.744995	72079.731289	72088.724925	72089.393613	72090.212722	72091.733949
01	27	w	2016/07/07	3	27	1	1.00	1.690000	1	487.7430	6	3	462.9422	7	0.8850	72098.669157	1999.577795	72098.755005	72099.741296	72100.727588	72109.721230	72110.239573	72111.209023	72111.693810
